open_time,ticket,symbol,type,open_price,profit,stop_loss,take_profit,close_time,close_price,commission,swap,profit_total
2025.05.26 16:53:50,884253238,XAUUSD,sell,0.1,3.342.134,3.341.359,3.340.246,2025.05.26 17:02:36,3.341.359,0.00,0.00,125 810.30
2025.05.26 16:54:50,884256325,XAUUSD,sell,0.1,3.342.113,3.341.359,3.340.225,2025.05.26 17:02:36,3.341.359,0.00,0.00,122 401.25
2025.05.26 16:55:50,884259776,XAUUSD,sell,0.1,3.341.889,3.341.359,3.340.001,2025.05.26 17:02:36,3.341.359,0.00,0.00,86 038.01
2025.05.26 16:56:51,884262563,XAUUSD,sell,0.1,3.342.203,3.341.359,3.340.315,2025.05.26 17:02:36,3.341.359,0.00,0.00,137 011.48
2025.05.26 16:57:51,884265101,XAUUSD,sell,0.1,3.342.127,3.341.476,3.340.239,2025.05.26 17:02:39,3.341.476,0.00,0.00,105 680.65
2025.05.26 16:58:52,884267885,XAUUSD,sell,0.1,3.342.377,3.341.476,3.340.489,2025.05.26 17:02:39,3.341.476,0.00,0.00,146 264.62
2025.07.26 6:50:49,1209420235,BTCUSD,buy,0.01,117426.01,116726.04,118426.04,2025.07.26 8:16:46,117386.66,0.00,0.00,-6 551.84
2025.07.26 6:50:59,1209420311,BTCUSD,buy,0.01,117423.83,116724.08,118424.08,2025.07.26 8:16:46,117386.66,0.00,0.00,-6 060.45
2025.07.26 6:51:09,1209420421,BTCUSD,buy,0.01,117426.11,116725.68,118425.68,2025.07.26 8:16:46,117386.66,0.00,0.00,-6 551.84
2025.07.26 6:51:19,1209420556,BTCUSD,buy,0.01,117421.36,116720.91,118420.91,2025.07.26 8:16:46,117386.66,0.00,0.00,-5 569.06
2025.07.26 6:51:29,1209420658,BTCUSD,buy,0.01,117424.96,116725.32,118425.32,2025.07.26 8:16:46,117386.66,0.00,0.00,-6 224.25
2025.07.26 6:51:39,1209420796,BTCUSD,buy,0.01,117425.40,116725.22,118425.22,2025.07.26 8:16:46,117386.66,0.00,0.00,-6 224.25
2025.07.26 6:51:49,1209420914,BTCUSD,buy,0.01,117425.66,116725.75,118425.75,2025.07.26 8:16:46,117386.66,0.00,0.00,-6 388.04
2025.07.26 6:51:59,1209421041,BTCUSD,buy,0.01,117426.47,116726.70,118426.70,2025.07.26 8:16:46,117386.66,0.00,0.00,-6 551.84
2025.07.26 6:52:09,1209421252,BTCUSD,buy,0.01,117415.71,116715.65,118415.65,2025.07.26 8:16:46,117386.66,0.00,0.00,-4 750.08
2025.07.26 6:52:19,1209421379,BTCUSD,buy,0.01,117416.71,116717.30,118417.30,2025.07.26 8:16:46,117386.66,0.00,0.00,-4 913.88
2025.07.26 6:52:29,1209421458,BTCUSD,buy,0.01,117414.99,116715.42,118415.42,2025.07.26 8:16:46,117386.66,0.00,0.00,-4 586.29
2025.07.26 6:52:39,1209421528,BTCUSD,buy,0.01,117414.19,116714.11,118414.11,2025.07.26 8:16:46,117386.66,0.00,0.00,-4 422.49
2025.07.26 6:52:49,1209421620,BTCUSD,buy,0.01,117415.00,116715.11,118415.11,2025.07.26 8:16:46,117386.66,0.00,0.00,-4 586.29
2025.07.26 6:52:59,1209421683,BTCUSD,buy,0.01,117414.28,116714.21,118414.21,2025.07.26 8:16:46,117386.66,0.00,0.00,-4 422.49
2025.07.26 6:53:09,1209421774,BTCUSD,buy,0.01,117415.70,116715.79,118415.79,2025.07.26 8:16:46,117386.66,0.00,0.00,-4 750.08
2025.07.26 6:53:19,1209421833,BTCUSD,buy,0.01,117416.73,116716.48,118416.48,2025.07.26 8:16:46,117386.66,0.00,0.00,-4 913.88
2025.07.26 6:53:29,1209422026,BTCUSD,buy,0.01,117415.00,116714.86,118414.86,2025.07.26 8:16:46,117386.66,0.00,0.00,-4 586.29
2025.07.26 6:53:39,1209422115,BTCUSD,buy,0.01,117415.35,116715.25,118415.25,2025.07.26 8:16:46,117386.66,0.00,0.00,-4 750.08
2025.07.26 6:53:49,1209422204,BTCUSD,buy,0.01,117412.39,116712.36,118412.36,2025.07.26 8:16:46,117386.66,0.00,0.00,-4 094.90
2025.07.26 6:53:59,1209422295,BTCUSD,buy,0.01,117414.39,116714.49,118414.49,2025.07.26 8:16:46,117386.66,0.00,0.00,-4 422.49
2025.07.26 6:54:09,1209422396,BTCUSD,buy,0.01,117414.93,116714.95,118414.95,2025.07.26 8:16:46,117386.66,0.00,0.00,-4 586.29
2025.07.26 6:54:19,1209422485,BTCUSD,buy,0.01,117412.98,116713.06,118413.06,2025.07.26 8:16:46,117386.66,0.00,0.00,-4 258.69
2025.07.26 6:54:29,1209422557,BTCUSD,buy,0.01,117411.95,116712.12,118412.12,2025.07.26 8:16:46,117386.66,0.00,0.00,-4 094.90
2025.07.26 6:54:39,1209422634,BTCUSD,buy,0.01,117413.41,116713.82,118413.82,2025.07.26 8:16:46,117386.66,0.00,0.00,-4 258.69
2025.07.26 6:54:49,1209422709,BTCUSD,buy,0.01,117412.72,116712.99,118412.99,2025.07.26 8:16:46,117386.66,0.00,0.00,-4 094.90
2025.07.26 6:54:59,1209422818,BTCUSD,buy,0.01,117409.84,116709.68,118409.68,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 603.51
2025.07.26 6:55:09,1209422896,BTCUSD,buy,0.01,117409.06,116708.97,118408.97,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 439.72
2025.07.26 6:55:19,1209423019,BTCUSD,buy,0.01,117407.41,116707.39,118407.39,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 275.92
2025.07.26 6:55:29,1209423164,BTCUSD,buy,0.01,117408.13,116708.20,118408.20,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 439.72
2025.07.26 6:55:39,1209423237,BTCUSD,buy,0.01,117409.12,116709.08,118409.08,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 603.51
2025.07.26 6:55:49,1209423315,BTCUSD,buy,0.01,117407.31,116707.40,118407.40,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 275.92
2025.07.26 6:55:59,1209423376,BTCUSD,buy,0.01,117406.84,116707.03,118407.03,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 275.92
2025.07.26 6:56:09,1209423455,BTCUSD,buy,0.01,117406.75,116706.72,118406.72,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 275.92
2025.07.26 6:56:19,1209423521,BTCUSD,buy,0.01,117406.49,116706.31,118406.31,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 275.92
2025.07.26 6:56:29,1209423588,BTCUSD,buy,0.01,117407.13,116707.32,118407.32,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 275.92
2025.07.26 6:56:39,1209423646,BTCUSD,buy,0.01,117406.78,116706.58,118406.58,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 275.92
2025.07.26 6:56:49,1209423719,BTCUSD,buy,0.01,117406.18,116706.26,118406.26,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 275.92
2025.07.26 6:56:59,1209423789,BTCUSD,buy,0.01,117405.35,116705.41,118405.41,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 6:57:09,1209423854,BTCUSD,buy,0.01,117405.95,116705.90,118405.90,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 6:57:19,1209423916,BTCUSD,buy,0.01,117406.32,116706.36,118406.36,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 6:57:29,1209423974,BTCUSD,buy,0.01,117405.44,116705.43,118405.43,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 6:57:39,1209424032,BTCUSD,buy,0.01,117405.97,116706.01,118406.01,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 6:57:49,1209424083,BTCUSD,buy,0.01,117404.99,116705.00,118405.00,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 6:57:59,1209424160,BTCUSD,buy,0.01,117405.02,116705.02,118405.02,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 6:58:09,1209424213,BTCUSD,buy,0.01,117404.88,116704.88,118404.88,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 6:58:19,1209424263,BTCUSD,buy,0.01,117405.81,116705.69,118405.69,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
2025.07.26 6:58:29,1209424317,BTCUSD,buy,0.01,117405.84,116705.90,118405.90,2025.07.26 8:16:46,117386.66,0.00,0.00,-3 112.12
